,SubjectID,ProgFI,A,L,K
88,29.0,10.0,3.970684652445752,4.706817992996683,2.757720459401885
89,29.0,11.47,3.864252004391618,4.301420701428217,2.0528522003624663
90,29.0,15.73,4.382453695355249,7.091639366722467,3.2433053564452186
91,29.0,22.37,4.097758441433704,7.2000974676200284,3.3563568778521575
92,29.0,30.73,3.9119119222421443,12.720036196254402,5.441215547847201
93,29.0,40.0,3.7249829734902833,20.474931799033723,2.1350574655115735
94,29.0,49.27,3.89099582439063,19.397790111774587,3.3684097681414795
95,29.0,57.63,3.94561734399224,26.68328817640367,4.318194166785913
96,29.0,64.27,4.0204626034316915,30.118589208436273,4.155757610908831
97,29.0,68.53,3.985981838322409,29.470334782527612,4.957674342057056
98,29.0,70.0,3.9086096477190533,28.41463826961678,5.423093674432273
99,30.0,5.0,2.746289458667173,3.6725288898988118,57.15977276475896
100,30.0,5.73,9.057867880671568,7.881570030643554,2.2949596747037893
101,30.0,7.86,6.246212062203796,8.756072464621786,2.3155230783186713
102,30.0,11.18,3.5565701605842013,8.31177348051028,4.777599305737583
103,30.0,15.36,3.3366200516145637,8.115334333719204,3.6557393003859153
104,30.0,20.0,3.074005969979427,10.943730120972145,3.795333039529927
105,30.0,24.64,3.048424655186942,9.958126503409137,4.00497377088334
106,30.0,28.82,2.98377295228921,11.449019074167099,5.99646700394463
107,30.0,32.14,2.922795470148059,11.937493377099885,6.265071428519586
108,30.0,34.27,3.044683991490661,12.421542102533058,5.495515362505269
109,30.0,35.0,2.983529821872353,10.448630361736777,4.60267323611485
110,31.0,10.0,2.9184588789927477,6.517675608702143,9.171184377345496
111,31.0,11.47,3.136365723874071,6.507768740086081,12.483155391869417
112,31.0,15.73,3.1220629664916246,8.161059627497409,4.197814025046626
113,31.0,22.37,3.13745082444697,11.451253183570826,4.63472057027532
114,31.0,30.73,2.7517784384465447,13.691653523098468,7.766129863253666
115,31.0,40.0,2.780705794727463,20.948708711988207,3.724054998178997
116,31.0,49.27,2.4563073611488946,18.290600472991947,9.261116407214821
117,31.0,57.63,2.776250524267167,26.303754304313994,4.268325127498635
118,31.0,64.27,2.788144772638276,27.830317101922702,3.3686885877021466
119,31.0,68.53,2.8004357578979033,29.114084826141386,3.8256319391768434
120,31.0,70.0,2.7283073925740435,29.919263000070323,3.5371888740739945
121,32.0,5.0,1.646009280029744,4.296708290852906,8.098584210923013
122,32.0,5.73,6.54921503133775,5.767656375402135,55.953858131524605
123,32.0,7.86,4.8905008573277025,9.005652862968786,3.404669517903325
124,32.0,11.18,4.141078332730078,12.991156685933161,3.329234063907586
125,32.0,15.36,1.9359302996046155,11.73261634870431,9.919797208318917
126,32.0,20.0,1.7294445664855753,11.796477365896385,5.918144921110471
127,32.0,24.64,1.8505963536950674,13.334653526370204,3.000986682709558
128,32.0,28.82,2.024065947481485,16.478644857518248,2.4665587839966294
129,32.0,32.14,2.117324887663501,18.906319308743008,2.2366300380299338
130,32.0,34.27,2.0527204215436616,17.891168430440807,3.0273992519496735
131,32.0,35.0,1.8823839406546534,16.724783836451817,3.207125448352893
132,33.0,5.0,2.630612009240992,3.782239060171575,47.38852524541245
133,33.0,5.73,8.941327728304032,5.762539532694261,64.7225577009917
134,33.0,7.86,6.67596762729695,9.466347276207669,2.6039766121520205
135,33.0,11.18,2.947375736986075,5.935271084072584,11.266228805243994
136,33.0,15.36,3.0243159813921725,8.474548110613657,3.5292364347612275
137,33.0,20.0,2.6404748622214815,12.331057484149422,3.300533682124769
138,33.0,24.64,3.1892951964714813,16.833139663512526,3.3106935916825204
139,33.0,28.82,3.194998266601239,18.01228607946947,2.720339104282652
140,33.0,32.14,3.1297024337791095,16.41501486555555,3.1110764634119383
141,33.0,34.27,2.974266189327537,17.653391822589345,3.9048175207591505
142,33.0,35.0,2.9780886783140943,15.031414966621732,3.4869183843452176
143,34.0,10.0,3.6579031673227336,10.70469599489107,6.430919454280255
144,34.0,11.47,4.509272723833208,13.173445738065263,3.909785782167861
145,34.0,15.73,1.8186626847755547,10.318577613144521,15.763438252266425
146,34.0,22.37,2.1320834801686015,14.196340375297849,4.978011765019823
147,34.0,30.73,2.2748707987674504,19.46638785963696,3.493986280562669
148,34.0,40.0,2.117677588776577,24.346046647803558,3.6315242364889477
149,34.0,49.27,2.137173786190501,26.102831989632694,3.72025728045609
150,34.0,57.63,2.143064472088333,33.70774053747454,5.365985677872171
151,34.0,64.27,2.1702109898162742,31.419460271797316,4.69103140900546
152,34.0,68.53,2.120706878644252,35.95440133890904,4.49173282411361
153,34.0,70.0,2.1540838013202097,36.36034891502459,5.004526401212686
154,35.0,5.0,2.342530327888085,3.130523893698999,3.7523698807848116
155,35.0,5.73,7.915433948870214,9.548824643711697,1.7207358892884568
156,35.0,7.86,6.498247725398284,10.043364308848068,1.9221555813357072
157,35.0,11.18,6.223408829638841,13.474133949492316,2.0379938016464942
158,35.0,15.36,2.6165364457519567,10.512665000555083,3.710706818603854
159,35.0,20.0,2.560382281764259,13.89805096270058,2.900135933818201
160,35.0,24.64,2.5932254926282514,13.288522893826794,9.646044278356912
161,35.0,28.82,2.8990783439441086,18.170333631904434,2.898263394112911
162,35.0,32.14,2.2770492628644416,16.772880182188636,9.77539203989432
163,35.0,34.27,2.4809405160252687,20.25609020131852,3.682524970042901
164,35.0,35.0,1.8792853824433098,14.917243935183237,5.2452285603480515
165,36.0,10.0,1.918010475024924,4.369001133394519,23.46476106186907
166,36.0,11.47,2.181695549850085,5.911321332150199,4.707991455683017
167,36.0,15.73,2.235041205387619,7.456007605103647,3.464069671952018
168,36.0,22.37,2.3071801151234146,10.240264405803426,5.095357987784663
169,36.0,30.73,2.081626934164766,13.924453040164025,6.869986834954994
170,36.0,40.0,2.442998353388111,20.60153470734189,4.574153268823403
171,36.0,49.27,2.364872521130526,22.85223318026524,5.259090673348781
172,36.0,57.63,2.4992253360419614,26.517042410885583,3.532806600891022
173,36.0,64.27,2.415128426777692,28.502186089259627,4.692443518588104
174,36.0,68.53,2.5402172636792613,33.978172948409885,5.936403353656569
175,36.0,70.0,2.469219088377243,33.305288982577466,5.022647109671368
176,177.0,15.0,5.97271569485494,17.274997041727016,3.680307356164763
177,177.0,17.2,3.682981898371209,15.001621189720812,2.8044525157613576
178,177.0,23.59,3.8747279813062505,24.69743499585614,2.2133788824181195
179,177.0,33.55,3.0639628916477473,24.41592821832638,3.054500578095466
180,177.0,46.09,2.56908701586,33.490901497285755,3.7766098907657555
181,177.0,60.0,2.362618376277838,52.97760906230667,7.7979814420798705
182,177.0,73.91,2.691251870534699,60.84641211535299,7.802878692202
183,177.0,86.45,2.6436938724083645,68.5960101156145,6.640686656569217
184,177.0,96.41,2.769376384541117,70.73961464854864,6.95246572505087
185,177.0,102.8,2.6461019515046957,74.41167235643425,7.3955995208536995
186,177.0,105.0,2.905055381399053,79.94983449552771,6.198674306459215
187,178.0,15.0,3.8176172522307428,11.646093425737606,5.760055490034664
188,178.0,17.2,3.4747680273481607,11.24512535659248,13.369091822060053
189,178.0,23.59,3.1685970648523805,11.634354659777888,12.935231025942999
190,178.0,33.55,3.342241284553545,15.776103549719839,5.706566381832532
191,178.0,46.09,3.556453418314713,28.22452084108052,2.7012382176348333
192,178.0,60.0,3.214925420290412,38.586658997583996,3.545413713215328
193,178.0,73.91,3.5007609899156846,47.9476752394279,3.9846183047808075
194,178.0,86.45,3.5017107179861626,59.15591286446518,3.5634063319053886
195,178.0,96.41,3.583464218738663,69.04552442248182,4.063179540141808
196,178.0,102.8,3.490714345569279,65.19060868995767,3.9322078610426825
197,178.0,105.0,3.539936725705422,62.64113044730154,4.0620197361332275
198,179.0,15.0,4.2839573051067985,7.186343638085645,1.4398643335304946
199,179.0,17.2,4.1793876416791065,8.865234408756507,1.5563100096858749
200,179.0,23.59,3.8440029827018547,10.401202267606815,2.1648934585141495
201,179.0,33.55,3.656519325292928,15.044939473567029,3.533095492627736
202,179.0,46.09,3.690931537295581,28.266559212514988,3.9115890998451506
203,179.0,60.0,3.413099661903588,45.8860454569771,4.546161652377621
204,179.0,73.91,2.6728456390118946,43.87179016543614,8.836756636988971
205,179.0,86.45,3.3710388267495803,57.484453277107924,5.339704334044924
206,179.0,96.41,3.4016958373571065,62.953130032753705,6.248291515926569
207,179.0,102.8,3.539610676081703,69.88081356396056,8.428304031020023
208,179.0,105.0,3.367525761250041,61.05494073945733,6.140094401255504
209,180.0,15.0,3.0996849466764522,11.659934034858729,2.6778190888832114
210,180.0,17.2,2.413744142760438,9.640736790124004,3.1250606084302213
211,180.0,23.59,2.09868538934629,9.898970856760775,5.504037969071263
212,180.0,33.55,2.27711707408432,13.761278535997908,5.016650021611126
213,180.0,46.09,2.4592140464342,32.20989273970234,1.9390412278077178
214,180.0,60.0,3.9113903119638445,70.85006026873317,2.69120031582556
215,180.0,73.91,2.9161780272048965,68.33761027055549,4.06109970376477
216,180.0,86.45,2.230970928005605,67.75505734056286,5.567924054507236
217,180.0,96.41,2.378694270491677,73.69078663473442,5.187921430669671
218,180.0,102.8,2.4030152512430396,73.31894434779446,8.454449743879517
219,180.0,105.0,2.4131941015233225,74.58099960812204,6.741106764436567
220,181.0,15.0,3.334432938167386,8.30899524446078,2.611863322867782
221,181.0,17.2,3.064941166572897,6.951764764739865,8.73108939199971
222,181.0,23.59,3.0005916449844356,9.205910789589053,4.189495021428627
223,181.0,33.55,3.009921361393653,13.566821198239031,4.165790332201794
224,181.0,46.09,3.019192202524495,24.70611093904304,7.115874630446086
225,181.0,60.0,3.12994673926667,37.04287742441744,4.575516589108333
226,181.0,73.91,3.0654045941106394,43.9451236067937,5.741887988881005
227,181.0,86.45,3.07901907537884,49.81894913990053,4.212245027668731
228,181.0,96.41,2.991189943570551,57.59296929875392,4.824167580782678
229,181.0,102.8,3.078721430038719,62.08145332541664,4.788781007978104
230,181.0,105.0,3.1279949796914814,56.17903266863296,5.508323245051439
231,182.0,15.0,5.380022282414302,16.22730890252344,5.325856216031627
232,182.0,17.2,4.173657582694203,17.662750603212626,4.295270780728978
233,182.0,23.59,2.3923903186334536,16.060072907052053,5.301759700621985
234,182.0,33.55,2.10117305171829,18.562535808194582,5.302144813576955
235,182.0,46.09,2.279786554937971,27.6551450534246,3.105885986605643
236,182.0,60.0,2.1371433847888968,36.496036143075294,3.4159410778102197
237,182.0,73.91,2.199933708940656,45.624102442358726,4.087676228246058
238,182.0,86.45,2.1125240302266852,50.37865709050225,3.8521090391492594
239,182.0,96.41,2.1974245089666486,58.41307298603732,3.552749105833049
240,182.0,102.8,2.106032973681845,61.9845323542439,3.595980307794685
241,182.0,105.0,2.250908508577837,59.8168395544157,3.4176649938274695
